Name,county_state,date1,Serial,date2,Pre_rally_beg,pre_rally_end,post_rally_beg,post_rally_end,average_growth_new_cases,pre_rally_rate,post_rally_rate,post_rally_growth_new_cases,post_rally_change_in_growth,pre_rally_rate,post_rally_rate,post_rally_growth_deaths
Donald Trump,Maricopa_Arizona,20201028,Maricopa_Arizona_20201028,10/28/2020,10/14/2020,10/28/2020,10/28/2020,11/11/2020,-13.3%,2118577,2439456,15.15%,-213.92%,49298,54772,11.10%
Donald Trump,Mohave_Arizona,20201028,Mohave_Arizona_20201028,10/28/2020,10/14/2020,10/28/2020,10/28/2020,11/11/2020,-12.3%,58993,68685,16.43%,-233.68%,3211,3543,10.34%
Joe Biden,Broward_Florida,20201029,Broward_Florida_20201029,10/29/2020,10/15/2020,10/29/2020,10/29/2020,11/12/2020,-13.1%,1151854,1336586,16.04%,-221.98%,21198,23123,9.08%
Donald Trump,Cumberland_North Carolina,20201029,Cumberland_North Carolina_20201029,10/29/2020,10/15/2020,10/29/2020,10/29/2020,11/12/2020,1.6%,93723,113405,21.00%,1234.49%,1309,1547,18.18%
Donald Trump,Hillsborough_Florida,20201029,Hillsborough_Florida_20201029,10/29/2020,10/15/2020,10/29/2020,10/29/2020,11/12/2020,-10.6%,646386,747446,15.63%,-248.04%,10560,12457,17.96%
Donald Trump,Hillsborough_Florida,20201029,Hillsborough_Florida_20201029,10/29/2020,10/15/2020,10/29/2020,10/29/2020,11/12/2020,-10.6%,646386,747446,15.63%,-248.04%,10560,12457,17.96%
Donald Trump,Brown_Wisconsin,20201030,Brown_Wisconsin_20201030,10/30/2020,10/16/2020,10/30/2020,10/30/2020,11/13/2020,32.7%,200903,268655,33.72%,2.98%,1268,1672,31.86%
Joe Biden,Milwaukee_Wisconsin,20201030,Milwaukee_Wisconsin_20201030,10/30/2020,10/16/2020,10/30/2020,10/30/2020,11/13/2020,8.8%,557415,762255,36.75%,315.88%,7958,9276,16.56%
Donald Trump,Oakland_Michigan,20201030,Oakland_Michigan_20201030,10/30/2020,10/16/2020,10/30/2020,10/30/2020,11/13/2020,-1.9%,336226,442440,31.59%,-1797.35%,17239,18767,8.86%
Joe Biden,Polk_Iowa,20201030,Polk_Iowa_20201030,10/30/2020,10/16/2020,10/30/2020,10/30/2020,11/13/2020,-0.6%,260096,342546,31.70%,-5517.37%,3993,4444,11.29%
Joe Biden,Ramsey_Minnesota,20201030,Ramsey_Minnesota_20201030,10/30/2020,10/16/2020,10/30/2020,10/30/2020,11/13/2020,4.5%,192532,256988,33.48%,636.03%,4963,5969,20.27%
Donald Trump,Butler_Pennsylvania,20201031,Butler_Pennsylvania_20201031,10/31/2020,10/17/2020,10/31/2020,10/31/2020,11/14/2020,23.4%,21885,34013,55.42%,136.56%,381,498,30.71%
Donald Trump,Lycoming_Pennsylvania,20201031,Lycoming_Pennsylvania_20201031,10/31/2020,10/17/2020,10/31/2020,10/31/2020,11/14/2020,10.0%,12975,16537,27.45%,175.01%,429,480,11.89%
Joe Biden,Oakland_Michigan,20201031,Oakland_Michigan_20201031,10/31/2020,10/17/2020,10/31/2020,10/31/2020,11/14/2020,-1.9%,339733,450839,32.70%,-1857.20%,17254,18810,9.02%
Joe Biden,Wayne_Michigan,20201031,Wayne_Michigan_20201031,10/31/2020,10/17/2020,10/31/2020,10/31/2020,11/14/2020,-7.4%,554375,686625,23.86%,-420.88%,42574,46303,8.76%
Donald Trump,Catawba_North Carolina,20201101,Catawba_North Carolina_20201101,11/1/2020,10/18/2020,11/1/2020,11/1/2020,11/15/2020,6.0%,59605,77251,29.60%,394.66%,844,971,15.05%
Donald Trump,Dubuque_Iowa,20201101,Dubuque_Iowa_20201101,11/1/2020,10/18/2020,11/1/2020,11/1/2020,11/15/2020,31.4%,72001,102172,41.90%,33.53%,787,1057,34.31%
Donald Trump,Floyd_Georgia,20201101,Floyd_Georgia_20201101,11/1/2020,10/18/2020,11/1/2020,11/1/2020,11/15/2020,3.1%,56032,69442,23.93%,676.57%,815,981,20.37%
Donald Trump,Macomb_Michigan,20201101,Macomb_Michigan_20201101,11/1/2020,10/18/2020,11/1/2020,11/1/2020,11/15/2020,1.6%,257129,353663,37.54%,2207.42%,15194,16936,11.47%
Donald Trump,Miami-Dade_Florida,20201101,Miami-Dade_Florida_20201101,11/1/2020,10/18/2020,11/1/2020,11/1/2020,11/15/2020,-14.2%,2546966,2907401,14.15%,-199.38%,50407,55276,9.66%
Joe Biden,Philadelphia_Pennsylvania,20201101,Philadelphia_Pennsylvania_20201101,11/1/2020,10/18/2020,11/1/2020,11/1/2020,11/15/2020,-7.3%,594133,732326,23.26%,-417.12%,26273,28658,9.08%
Joe Biden,Allegheny_Pennsylvania,20201102,Allegheny_Pennsylvania_20201102,11/2/2020,10/19/2020,11/2/2020,11/2/2020,11/16/2020,-1.5%,210006,268528,27.87%,-2020.97%,5907,6732,13.97%
Joe Biden,Cleveland_North Carolina,20201102,Cleveland_North Carolina_20201102,11/2/2020,10/19/2020,11/2/2020,11/2/2020,11/16/2020,10.4%,43339,53714,23.94%,129.19%,1155,1374,18.96%
Donald Trump,Cumberland_North Carolina,20201102,Cumberland_North Carolina_20201102,11/2/2020,10/19/2020,11/2/2020,11/2/2020,11/16/2020,1.6%,96865,117152,20.94%,1230.90%,1345,1583,17.70%
Donald Trump,Grand Traverse_Michigan,20201102,Grand Traverse_Michigan_20201102,11/2/2020,10/19/2020,11/2/2020,11/2/2020,11/16/2020,23.5%,10785,16371,51.79%,120.63%,186,216,16.13%
Donald Trump,Kent_Michigan,20201102,Kent_Michigan_20201102,11/2/2020,10/19/2020,11/2/2020,11/2/2020,11/16/2020,14.6%,198458,305367,53.87%,267.79%,2570,3295,28.21%
Donald Trump,Luzerne_Pennsylvania,20201102,Luzerne_Pennsylvania_20201102,11/2/2020,10/19/2020,11/2/2020,11/2/2020,11/16/2020,-2.0%,72346,94639,30.81%,-1634.40%,2753,3252,18.13%
Joe Biden,New Castle_Delaware,20201103,New Castle_Delaware_20201103,11/3/2020,10/20/2020,11/3/2020,11/3/2020,11/17/2020,-0.2%,179103,219089,22.33%,-10593.79%,4791,5394,12.59%
Joe Biden,Philadelphia_Pennsylvania,20201103,Philadelphia_Pennsylvania_20201103,11/3/2020,10/20/2020,11/3/2020,11/3/2020,11/17/2020,-7.3%,603107,754044,25.03%,-441.21%,26326,28744,9.18%
